"Date","Price","Open","High","Low","Vol.","Change %"
"05/08/2025","163.42","162.62","163.60","162.54","","0.50%"
"05/07/2025","162.61","161.94","163.06","161.86","","0.41%"
"05/06/2025","161.95","162.60","162.99","161.59","","-0.40%"
"05/05/2025","162.60","163.83","163.97","162.56","","-0.70%"
"05/02/2025","163.74","164.24","164.64","163.37","","-0.30%"
"05/01/2025","164.24","162.09","164.48","161.77","","1.33%"
"04/30/2025","162.09","162.08","162.82","161.74","","0.01%"
"04/29/2025","162.08","162.21","162.59","161.88","","-0.08%"
"04/28/2025","162.21","163.31","163.45","162.19","","-0.67%"
"04/25/2025","163.31","162.45","163.79","162.10","","0.53%"
"04/24/2025","162.45","162.32","162.52","161.82","","0.08%"
"04/23/2025","162.32","161.72","162.49","161.18","","0.38%"
"04/22/2025","161.70","162.21","162.37","160.94","","-0.28%"
"04/21/2025","162.15","161.91","162.69","161.62","","0.12%"
"04/18/2025","161.95","161.90","162.22","161.70","","0.08%"
"04/17/2025","161.82","161.64","162.69","161.26","","0.11%"
"04/16/2025","161.65","161.64","162.39","161.41","","0.04%"
"04/15/2025","161.58","162.30","162.85","161.26","","-0.43%"
"04/14/2025","162.27","163.91","163.92","162.06","","-0.47%"
"04/11/2025","163.03","161.76","163.16","161.29","","0.80%"
"04/10/2025","161.74","161.80","162.60","160.85","","-0.02%"
"04/09/2025","161.77","160.32","162.23","159.46","","0.94%"
"04/08/2025","160.26","161.21","162.22","160.01","","-0.58%"
"04/07/2025","161.20","160.07","162.41","158.35","","0.17%"
"04/04/2025","160.93","161.44","162.03","159.01","","-0.29%"
"04/03/2025","161.40","162.03","163.07","160.10","","-0.37%"
"04/02/2025","162.00","161.49","164.21","161.10","","0.33%"
"04/01/2025","161.47","162.22","162.40","160.75","","-0.45%"
"03/31/2025","162.20","162.10","162.51","161.03","","0.00%"
"03/28/2025","162.20","163.16","163.20","162.05","","-0.58%"
"03/27/2025","163.15","161.95","163.38","161.35","","0.77%"
"03/26/2025","161.90","161.77","162.63","161.64","","0.09%"
"03/25/2025","161.76","162.79","163.05","161.60","","-0.61%"
"03/24/2025","162.75","161.39","162.87","161.39","","0.80%"
"03/21/2025","161.46","161.47","162.16","160.74","","0.01%"
"03/20/2025","161.44","162.15","162.36","160.73","","-0.39%"
"03/19/2025","162.08","163.37","163.90","162.04","","-0.77%"
"03/18/2025","163.34","163.00","164.21","162.87","","0.24%"
"03/17/2025","162.95","161.60","163.09","161.55","","0.79%"
"03/14/2025","161.68","160.42","162.35","160.31","","0.80%"
"03/13/2025","160.40","161.41","161.53","160.04","","-0.61%"
"03/12/2025","161.38","161.37","162.70","161.18","","0.02%"
"03/11/2025","161.34","159.56","161.82","158.97","","1.15%"
"03/10/2025","159.51","160.21","160.40","158.89","","-0.52%"
"03/07/2025","160.35","159.60","160.79","159.26","","0.51%"
"03/06/2025","159.53","160.65","161.30","159.11","","-0.67%"
"03/05/2025","160.61","159.19","160.75","158.73","","0.92%"
"03/04/2025","159.15","156.80","159.23","155.57","","1.52%"
"03/03/2025","156.77","156.38","158.50","155.91","","0.33%"
"02/28/2025","156.25","155.78","157.20","154.79","","0.32%"
"02/27/2025","155.75","156.32","157.24","155.64","","-0.34%"
"02/26/2025","156.28","156.69","157.16","156.03","","-0.24%"
"02/25/2025","156.66","156.72","157.33","156.07","","-0.02%"
"02/24/2025","156.69","156.66","157.28","156.07","","0.36%"
"02/21/2025","156.13","157.15","158.23","155.80","","-0.61%"
"02/20/2025","157.09","157.87","157.90","156.30","","-0.48%"
"02/19/2025","157.85","158.80","159.15","157.70","","-0.61%"
"02/18/2025","158.82","158.83","159.23","158.35","","0.01%"
"02/17/2025","158.80","159.80","159.86","158.51","","-0.63%"
"02/14/2025","159.81","159.90","160.33","159.42","","-0.04%"
"02/13/2025","159.88","160.32","161.21","159.00","","-0.27%"
"02/12/2025","160.31","158.00","160.99","157.87","","1.48%"
"02/11/2025","157.97","156.68","158.21","156.25","","0.85%"
"02/10/2025","156.64","156.21","157.43","155.48","","0.19%"
"02/07/2025","156.35","157.26","158.32","155.85","","-0.55%"
"02/06/2025","157.21","158.75","158.89","157.05","","-0.95%"
"02/05/2025","158.72","160.20","160.33","158.48","","-0.89%"
"02/04/2025","160.15","160.10","160.86","159.18","","0.05%"
"02/03/2025","160.07","159.68","160.17","157.95","","-0.45%"
